date,price
2022-08-12,1.1639796503053538e-09
2022-08-13,1.0549257337230498e-09
2022-08-14,1.0282041495452826e-09
2022-08-15,1.0617259013687123e-09
2022-08-16,1.0781378081592195e-09
2022-08-17,8.988607193703884e-10
2022-08-18,1.0382365916583927e-09
2022-08-19,1.0994774473902156e-09
2022-08-20,1.073131641996209e-09
2022-08-21,1.007110983580115e-09
2022-08-22,1.015212247453538e-09
2022-08-23,9.614245502338326e-10
2022-08-24,1.0587603629299082e-09
2022-08-25,1.028437146381393e-09
2022-08-26,1.1457432165679647e-09
2022-08-27,1.0822255622211997e-09
2022-08-28,1.0692738776848644e-09
2022-08-29,1.0580299868732303e-09
2022-08-30,1.0624874563717232e-09
2022-08-31,1.0194054341148586e-09
2022-09-01,9.779253595171585e-10
2022-09-02,1.056064055267959e-09
2022-09-03,9.35528069653546e-10
2022-09-04,1.0529252661804512e-09
2022-09-05,9.658000723370899e-10
2022-09-06,9.112462376760164e-10
2022-09-07,9.863441372004814e-10
2022-09-08,9.617661102501987e-10
2022-09-09,1.1507913275776422e-09
2022-09-10,1.0077120005015875e-09
2022-09-11,1.0108035199991487e-09
2022-09-12,1.1406532093008814e-09
2022-09-13,1.0799654075030281e-09
2022-09-14,1.06480509139713e-09
2022-09-15,1.056813658803347e-09
2022-09-16,9.127529705960087e-10
2022-09-17,9.542821978148407e-10
2022-09-18,1.021303751886136e-09
2022-09-19,9.981015040278838e-10
2022-09-20,8.737915338961726e-10
2022-09-21,1.139457817003225e-09
2022-09-22,1.3030908158280443e-09
2022-09-23,9.790819471991148e-10
2022-09-24,1.0712428503286916e-09
2022-09-25,1.0445351271688995e-09
2022-09-26,1.0448136987367118e-09
2022-09-27,1.0254542181202432e-09
2022-09-28,1.0107388373861845e-09
2022-09-29,1.0000231764204348e-09
2022-09-30,9.90350040160824e-10
2022-10-01,9.987333857186181e-10
2022-10-02,1.0229611333551854e-09
2022-10-03,1.045997609180165e-09
2022-10-04,1.0658057749099148e-09
2022-10-05,1.055698291567328e-09
2022-10-06,1.059409681621001e-09
2022-10-07,1.1473882214734227e-09
2022-10-08,1.1575919628471118e-09
2022-10-09,1.1543216125561003e-09
2022-10-10,1.0302986666784984e-09
2022-10-11,1.0494334536165497e-09
2022-10-12,1.0422172867103088e-09
2022-10-13,1.0480312084304055e-09
2022-10-14,1.0057823961292767e-09
2022-10-15,9.728634076774485e-10
2022-10-16,1.0185038971660074e-09
2022-10-17,1.0096371205789121e-09
2022-10-18,1.0063870508210547e-09
2022-10-19,9.95275163298758e-10
2022-10-20,9.947347791166478e-10
2022-10-21,1.0349414083400367e-09
2022-10-22,1.0265718701736533e-09
2022-10-23,1.0367336537269358e-09
2022-10-24,1.0492125189614754e-09
2022-10-25,1.0481418431691984e-09
2022-10-26,1.3098547318760752e-09
2022-10-27,1.5956287825003591e-09
2022-10-28,1.7453865597796284e-09
2022-10-29,1.6277142501776102e-09
2022-10-30,1.5383208291296663e-09
2022-10-31,1.5416618856741378e-09
2022-11-01,1.5686694294477573e-09
2022-11-02,1.8044536005044026e-09
2022-11-03,1.7966893886797518e-09
2022-11-04,1.7777354349131913e-09
2022-11-05,1.779058761834714e-09
2022-11-06,1.6249898371955747e-09
2022-11-07,1.8136575674274768e-09
2022-11-08,1.7106591361054207e-09
2022-11-09,1.4043224766238624e-09
2022-11-10,1.4490913703924367e-09
2022-11-11,1.3349287221133618e-09
2022-11-12,1.2647559079736745e-09
2022-11-13,1.232969493643345e-09
2022-11-14,1.2118651608691239e-09
2022-11-15,1.2250435478613938e-09
2022-11-16,1.2107403133203907e-09
2022-11-17,1.2021727342469324e-09
2022-11-18,1.263951399879595e-09
2022-11-19,1.3341492553978874e-09
2022-11-20,1.2859461191772839e-09
2022-11-21,1.2756477498101095e-09
2022-11-22,1.245505785359723e-09
2022-11-23,1.2407320166641787e-09
2022-11-24,1.4390554298451693e-09
2022-11-25,1.4392519332288618e-09
2022-12-09,1.4392519332288618e-09
2022-12-10,1.4392519332288618e-09
2022-12-11,1.4392519332288618e-09
2022-12-12,1.4392519332288618e-09
2022-12-13,1.4392519332288618e-09
2022-12-14,0.01086236583041722
2022-12-15,0.010617529896497158
2022-12-16,0.01013999251422011
2022-12-17,0.00891258965341974
2022-12-18,0.00929380817898523
2022-12-19,0.00959471294823526
2022-12-20,0.009040284721169987
2022-12-21,0.009485653794399546
2022-12-22,0.009185265753955084
2022-12-23,0.009137330129872783
2022-12-24,0.00913470272484762
2022-12-25,0.009041816793408894
2022-12-26,0.008977519382952619
2022-12-27,0.008871254995720742
2022-12-28,0.008840212260763331
2022-12-29,0.008651515861909657
2022-12-30,0.008693895119371249
2022-12-31,0.008572456021472222
2023-01-01,0.008456671429918508
2023-01-02,0.00829258873312349
2023-01-03,0.008355146957382086
2023-01-04,0.0083218809732152
2023-01-05,0.00871008720407092
2023-01-06,0.008626530247502678
2023-01-07,0.008710043752209401
2023-01-08,0.008732743411482004
2023-01-09,0.008832727405809886
2023-01-10,0.009153459356652799
2023-01-11,0.009447691585131781
2023-01-12,0.009667005622789677
2023-01-13,0.009853660190756005
2023-01-14,0.009816275061579161
2023-01-15,0.009915747194724904
2023-01-16,0.009859137874579335
2023-01-17,0.009505389592961443
2023-01-18,0.009443353512269588
2023-01-19,0.009021847321030231
2023-01-20,0.009148906680007271
2023-01-21,0.009561024765028906
2023-01-22,0.00898331995698145
2023-01-23,0.00911625368542875
2023-01-24,0.009224712375988596
2023-01-25,0.008856905557402667
2023-01-26,0.008904535812379943
2023-01-27,0.008847140356328994
2023-01-28,0.009033401888488243
2023-01-29,0.009143245916028839
2023-01-30,0.008050400157600933
2023-01-31,0.008009023179894388
2023-02-01,0.008343503242948554
2023-02-02,0.008530901397360008
2023-02-03,0.00865005111346851
2023-02-04,0.008843594728124201
2023-02-05,0.008805914095323374
2023-02-06,0.008774586279607756
2023-02-07,0.008716918949297024
2023-02-08,0.008894570817826382
2023-02-09,0.008798649075955383
2023-02-10,0.008340438190898478
2023-02-11,0.008077476928548502
2023-02-12,0.008259125120934874
2023-02-13,0.008959190779447937
2023-02-14,0.00831914737414406
2023-02-15,0.008446168471505824
2023-02-16,0.00884713358151228
2023-02-17,0.009003626365924668
2023-02-18,0.00883801377878913
2023-02-19,0.009123871964557847
2023-02-20,0.008783104946782496
2023-02-21,0.008980221400304614
2023-02-22,0.009032091320987123
2023-02-23,0.009061803057345818
2023-02-24,0.009200153450766064
2023-02-25,0.00886688605254334
2023-02-26,0.00896824787413139
2023-02-27,0.00919178564504181
2023-02-28,0.008971858678110487
2023-03-01,0.008910176315082766
2023-03-02,0.008850013937375193
2023-03-03,0.008767572106663374
2023-03-04,0.008744450861801412
2023-03-05,0.008470053964710792
2023-03-06,0.008525087322577748
2023-03-07,0.008187491007133268
2023-03-08,0.008136756227303208
2023-03-09,0.008158855880812898
2023-03-10,0.007945990311456604
2023-03-11,0.007792683802692072
2023-03-12,0.007692585808997874
2023-03-13,0.007933039680241609
2023-03-14,0.008288654767753886
2023-03-15,0.008288970267153506
2023-03-16,0.008234520678272525
2023-03-17,0.008666959216387991
2023-03-18,0.008877562779822242
2023-03-19,0.008631597305086917
2023-03-20,0.008689200779799454
2023-03-21,0.008520212139456727
2023-03-22,0.00845692473068093
2023-03-23,0.0075383889423657514
2023-03-24,0.007839152819451531
2023-03-25,0.007457415635576208
2023-03-26,0.0075305043206926785
2023-03-27,0.0076062620118704394
2023-03-28,0.00739020300209518
2023-03-29,0.007290293416360389
2023-03-30,0.00726963594787295
2023-03-31,0.007398799405254331
2023-04-01,0.007428258794032039
2023-04-02,0.007348239510158617
2023-04-03,0.0072904061594283864
2023-04-04,0.007100078193664865
2023-04-05,0.007200598915418496
2023-04-06,0.007211227442039828
2023-04-07,0.007166201883703382
2023-04-08,0.007161151390416146
2023-04-09,0.007172630703960559
2023-04-10,0.007186153648354004
