date,price
2022-08-12,9.250215085340591e-10
2022-08-13,9.886185160772674e-10
2022-08-14,9.70585740773206e-10
2022-08-15,9.36032360363998e-10
2022-08-16,9.374734353248357e-10
2022-08-17,9.823362390861579e-10
2022-08-18,9.168095856831482e-10
2022-08-19,9.31818857544682e-10
2022-08-20,8.625066741285332e-10
2022-08-21,8.942025810257987e-10
2022-08-22,9.602036762146996e-10
2022-08-23,9.272772353053492e-10
2022-08-24,9.127706709612773e-10
2022-08-25,8.841777128407566e-10
2022-08-26,8.953476333371578e-10
2022-08-27,8.147120751328593e-10
2022-08-28,8.060043644603287e-10
2022-08-29,8.368661595287264e-10
2022-08-30,8.624049872019491e-10
2022-08-31,8.81647803404315e-10
2022-09-01,8.729570052594477e-10
2022-09-02,8.197569146738966e-10
2022-09-03,7.853723627407872e-10
2022-09-04,7.73292825626627e-10
2022-09-05,7.456646863218542e-10
2022-09-06,6.583522442105318e-10
2022-09-07,5.54752769573256e-10
2022-09-08,6.025709636950229e-10
2022-09-09,6.178935656529733e-10
2022-09-10,6.780286013370981e-10
2022-09-11,6.825911542684398e-10
2022-09-12,6.835891605773392e-10
2022-09-13,6.804575664325602e-10
2022-09-14,6.515169402204094e-10
2022-09-15,6.55071828161099e-10
2022-09-16,6.772243501050241e-10
2022-09-17,7.025976509717413e-10
2022-09-18,6.932104620610378e-10
2022-09-19,6.709791813368639e-10
2022-09-20,6.857631079990687e-10
2022-09-21,6.452347851265818e-10
2022-09-22,6.820249885730302e-10
2022-09-23,7.771523182116877e-10
2022-09-24,8.470809191019021e-10
2022-09-25,1.2465993819961216e-09
2022-09-26,1.434553624905354e-09
2022-09-27,1.5827058603194751e-09
2022-09-28,1.3434459513961745e-09
2022-09-29,1.3093213741790245e-09
2022-09-30,1.276345360417547e-09
2022-10-01,1.2330165877253371e-09
2022-10-02,1.2858663137239662e-09
2022-10-03,1.293571852352725e-09
2022-10-04,1.3420252273820168e-09
2022-10-05,1.5661838020022569e-09
2022-10-06,1.4789351057635755e-09
2022-10-07,1.5836339057310978e-09
2022-10-08,1.6166447447304072e-09
2022-10-09,1.586384684613987e-09
2022-10-10,1.4867842817703974e-09
2022-10-11,1.3619516173544676e-09
2022-10-12,1.2893490619340852e-09
2022-10-13,1.219382892331092e-09
2022-10-14,1.1624827835384072e-09
2022-10-15,1.1639850753923937e-09
2022-10-16,1.2072436979927954e-09
2022-10-17,1.1873617960875772e-09
2022-10-18,1.1753198194438022e-09
2022-10-19,1.1451498506213897e-09
2022-10-20,1.0810603569551702e-09
2022-10-21,1.0428729728638431e-09
2022-10-22,1.0207300713860372e-09
2022-10-23,1.0164980629717727e-09
2022-10-24,9.061525976993093e-10
2022-10-25,1.0069786240333755e-09
2022-10-26,1.0809342805004254e-09
2022-10-27,1.0842825194907106e-09
2022-10-28,1.0273084316093728e-09
2022-10-29,1.034927785251916e-09
2022-10-30,9.876804893099336e-10
2022-10-31,9.323880531316127e-10
2022-11-01,9.083324299220113e-10
2022-11-02,8.952770565685873e-10
2022-11-03,8.48526867432384e-10
