date,price
2023-04-27,1.4877658283945092e-08
2023-04-28,1.4877658283945092e-08
2023-04-29,3.05186956720283e-08
2023-04-30,8.2840984516485e-08
2023-05-01,9.866317601568416e-08
2023-05-02,5.502696808473155e-07
2023-05-03,1.0200600920557202e-07
2023-05-04,8.290959338891949e-08
2023-05-05,1.6001674468292568e-07
2023-05-06,1.9593219419545386e-07
2023-05-07,2.209727237189674e-07
2023-05-08,2.3570856235197904e-07
2023-05-09,1.209389772889047e-07
2023-05-10,1.0704163470746756e-07
2023-05-11,5.523529596072853e-08
2023-05-12,4.397016503414924e-08
2023-05-13,8.292293670839822e-08
2023-05-14,7.079291650487013e-08
2023-05-15,5.63802625845495e-08
2023-05-16,4.669201161384518e-08
2023-05-17,6.259252593792105e-08
2023-05-18,6.660444078696689e-08
2023-05-19,7.216721530464793e-08
2023-05-20,7.285928775011794e-08
2023-05-21,6.780119079133255e-08
2023-05-22,5.73425953315439e-08
2023-05-23,7.007272598877265e-08
2023-05-24,6.405520720902335e-08
2023-05-25,6.423922907975704e-08
2023-05-26,6.154721573035654e-08
2023-05-27,5.5286934311398636e-08
2023-05-28,6.033643044062224e-08
2023-05-29,5.6614501001430365e-08
2023-05-30,5.241959109668071e-08
2023-05-31,3.7272686456068e-08
2023-06-01,3.5960143813757835e-08
2023-06-02,3.750425020656214e-08
2023-06-03,3.950047892067236e-08
2023-06-04,3.6212005563636434e-08
2023-06-05,3.706676425052291e-08
2023-06-06,3.116368710637048e-08
2023-06-07,2.841341129554072e-08
2023-06-08,2.11289319807705e-08
2023-06-09,2.3125731092120956e-08
2023-06-10,2.085619930723896e-08
2023-06-11,1.935242695746582e-08
2023-06-12,2.025966481321768e-08
2023-06-13,2.288090148506271e-08
2023-06-14,2.3817674406367948e-08
2023-06-15,2.5050427684346154e-08
2023-06-16,2.4649452300479988e-08
2023-06-17,2.3229160836209184e-08
2023-06-18,2.3550112804429713e-08
2023-06-19,2.2024774432021642e-08
2023-06-20,1.982231393717432e-08
2023-06-21,2.1453739997428065e-08
2023-06-22,2.0748337346999564e-08
2023-06-23,1.852661867737846e-08
2023-06-24,1.7394865731201107e-08
2023-06-25,1.749900003744837e-08
2023-06-26,1.7338285254637087e-08
2023-06-27,1.9063574551753263e-08
2023-06-28,1.8236490565968505e-08
2023-06-29,1.732678316295333e-08
2023-06-30,1.531923165467724e-08
2023-07-01,1.345357137286402e-08
2023-07-02,1.2332169506986588e-08
2023-07-03,1.2133023711748826e-08
2023-07-04,1.328607679609926e-08
2023-07-05,1.4124603558007061e-08
2023-07-06,1.2167337583695652e-08
2023-07-07,1.1726610917989315e-08
2023-07-08,1.1290341338316914e-08
2023-07-09,1.100896201933441e-08
2023-07-10,1.0031188062336178e-08
2023-07-11,1.0034861841161122e-08
2023-07-12,1.1719588760722511e-08
2023-07-13,1.0881981913524188e-08
2023-07-14,1.0782947209466173e-08
2023-07-15,1.0134544586961769e-08
2023-07-16,9.343978496476782e-09
2023-07-17,9.558969772841239e-09
2023-07-18,9.318470196050661e-09
2023-07-19,9.074092893130631e-09
2023-07-20,9.245586619419343e-09
2023-07-21,9.377667184778222e-09
2023-07-22,9.202408326417305e-09
2023-07-23,8.843071573720722e-09
2023-07-24,9.093946155461563e-09
2023-07-25,8.80996190289458e-09
2023-07-26,9.001727217824593e-09
2023-07-27,8.588976723964563e-09
2023-07-28,8.579357935842095e-09
2023-07-29,7.70824103386665e-09
2023-07-30,7.594111712194084e-09
2023-07-31,7.680074011537848e-09
2023-08-01,7.747088870316971e-09
2023-08-02,7.745184182465892e-09
2023-08-03,7.89642186101297e-09
2023-08-04,7.75449700304189e-09
2023-08-05,7.217994593172145e-09
2023-08-06,6.873820508531764e-09
2023-08-07,6.589462559748777e-09
2023-08-08,6.484169327924193e-09
2023-08-09,6.46646274239842e-09
2023-08-10,6.324400949084157e-09
2023-08-11,6.078764757670336e-09
2023-08-12,6.1274590837123555e-09
